Dokument,"das Dokument, -e",Hast du alle Dokumente für die Anmeldung dabei?,Dieser Stein ist ein wichtiges Dokument für die alte römische Kultur.,,,,
Donner,"der Donner, -",Der Donner kam erst lange nach dem Blitz.,,,,,
Dorf,"das Dorf, ¨-er",Unser Dorf liegt direkt an der Autobahn.,,,,,
Dose,"die Dose, -n ? D, CH: Büchse",Ich habe noch eine Dose Bohnen.,,,,,
Dreck,der Dreck,Iss den Apfel nicht! Der lag im Dreck.,Ich konnte vor lauter Dreck auf dem Fenster nichts sehen.,Kümmere dich um deinen eigenen Dreck!,,,
Droge,"die Droge, -n",Nimmst du etwa Drogen?,,,,,
Drogerie,"die Drogerie, -n",Waschmittel bekommst du in der Drogerie.,,,,,
Drucker,"der Drucker, -",Ich brauche einen neuen Drucker für meinen Computer.,,,,,
Druck,der Druck,Mit einem Knopfdruck schaltet man das Gerät ein.,Wie hoch muss der Druck in den vorderen Reifen sein?,,,,
Durchsage,"die Durchsage, -n","Achtung, Achtung, eine wichtige Durchsage!",Ich habe die Durchsage nicht verstanden.,,,,
Durchschnitt,"der Durchschnitt, -e",Der Durchschnitt der Ausgaben liegt bei 150 Euro im Monat.,Im Durchschnitt brauchen wir täglich 20 Minuten zur Arbeit.,Die Studentin gehört zum Durchschnitt.,,,
Durst,der Durst,Ich hole Ihnen etwas zu trinken. Sie haben sicher Durst.,,,,,
Dusche,"die Dusche, -n",Wir haben leider nur noch ein Zimmer mit Dusche.,Unsere Wohnung hat nur eine Dusche.,,,,
e-card,die e-card (A) ? D: die Versichertenkarte,Haben Sie Ihre e-card dabei?,,,,,
ec-Karte,die ec-Karte/EC-Karte ? A: Bankomat-Karte,Bezahlen Sie bar? Sie können auch mit der ec-Karte zahlen.,,,,,
Ecke,"die Ecke, -n (D, CH) ? A: Eck",Das Regal stellen wir hier in die Ecke.,Das bekommen Sie im Kiosk an der Ecke.,Wo ist die Apotheke? ? Gleich um die Ecke.,,,
Ecke,"das Eck, -en (A) ? D, CH: Ecke",Das Regal stellen wir hier ins Eck.,Das bekommen Sie im Kiosk am Eck.,Wo ist die Apotheke? ? Gleich ums Eck.,,,
Ehe,"die Ehe, -n",Sie hat zwei Kinder aus erster Ehe.,,,,,
Ehefrau,"die Ehefrau, -en/der Ehemann, ¨-er",Wie heißt Ihre Ehefrau mit Vornamen?,,,,,
Ehepaar,"das Ehepaar, -e",Das Ehepaar unter uns hat zwei Kinder.,,,,,
Ei,"das Ei, -er",Möchtest du zum Frühstück ein Ei?,,,,,
Eile,die Eile,Ich bin sehr in Eile,Das hat keine Eile.,,,,
Einbahnstraße,"die Einbahnstraße, -n",Die Goethestraße ist jetzt eine Einbahnstraße.,,,,,
"Einbrecher, Einbrecherin","der Einbrecher, - die Einbrecherin, -nen",Die Einbrecher haben nichts gestohlen.,,,,,
Einbruch,"der Einbruch, ¨-e",In der Urlaubszeit gibt es viele Wohnungseinbrüche.,,,,,
Eindruck,"der Eindruck, ¨-e",Ich finde die Leute auf der Straße ziemlich unfreundlich. Wie ist dein Eindruck?,"Ich glaube, ich habe bei dem Vorstellungsgespräch einen guten Eindruck gemacht.",,,,
Einfahrt,"die Einfahrt, -en",Da parkt wieder jemand vor unserer Einfahrt.,Können Sie nicht lesen: Einfahrt freihalten!,,,,
Einfall,"der Einfall, ¨-e",Frag einfach meine Freundin. Sie hat immer gute Einfälle.,,,,,
Einfluss,"der Einfluss, ¨-e",Das Wetter hat Einfluss auf die Gesundheit der Menschen.,,,,,
Einführung,"die Einführung, -en",Leider habe ich die Einführung des Kurses verpasst.,,,,,
Eingang,"der Eingang, ¨-e",Das Gebäude hat zwei Eingänge.,Der Eingang ist um die Ecke.,,,,
Einkauf,"der Einkauf, ¨-e",Achten Sie beim Einkauf auf Sonderangebote.,Ich habe alle Einkäufe erledigt. Jetzt können wir einen Kaffee trinken.,,,,
Einkommen,"das Einkommen, -",Bei einem höheren Einkommen muss man mehr Steuern zahlen.,,,,,
Einladung,"die Einladung, -en",Danke für die Einladung.,,,,,
Einnahme,"die Einnahme, -n",Unser Geschäft läuft gut. Unsere Einnahmen waren in diesem Monat höher als im letzten.,,,,,
Einrichtung,"die Einrichtung, -en","Deine Wohnung ist sehr gemütlich, die Einrichtung gefällt mir sehr gut.",,,,,
Einschreiben,"das Einschreiben, -",Ich habe den Brief als Einschreiben geschickt.,,,,,
Eintritt,der Eintritt,Kinder über 10 Jahre zahlen den vollen Eintritt.,Der Eintritt ist frei.,,,,
"Einwohner, Einwohnerin","der Einwohner, - die Einwohnerin, -nen",Berlin hat über drei Millionen Einwohner.,,,,,
Einzahlung,"die Einzahlung, -en",Sie sollten die Einzahlung pünktlich machen.,,,,,
Einzelheit,"die Einzelheit, -en",Du musst mir das in allen Einzelheiten erzählen.,,,,,
Eis,das Eis,Im Winter gibt es Eis und Schnee.,Bitte eine Cola ohne Eis.,,,,
Eis,"das Eis (D, A) ? CH: Glace/Glacé",Zum Nachtisch gibt es Schokoladeneis.,,,,,
Eisenbahn,"die Eisenbahn, -en",Die Kinder wünschen sich eine elektrische Eisenbahn.,,,,,
Eltern (Pl.),die Eltern (Pl.),Ich wohne noch bei meinen Eltern.,,,,,
Empfang,"der Empfang, ¨-e",Bitte den Empfang bestätigen!,Ich bin mit dem Fernseher nicht zufrieden. Der Empfang ist sehr schlecht.,Zur Firmeneröffnung bitten wir zu einem kleinen Empfang.,,,
Empfänger,"der Empfänger, -",Es fehlt die genaue Adresse des Empfängers.,,,,,
Empfehlung,"die Empfehlung, -en",Ich rufe auf Empfehlung von Herrn Weber an.,,,,,
Ende,das Ende,Ich wohne am Ende der Straße.,Die nächste Prüfung findet Ende August statt.,Rinaldo ist Ende fünfzig.,Am Dienstag gehen die Ferien zu Ende.,,
Energie,"die Energie, -n",Wir müssen Energie sparen.,"Abends habe ich keine Energie mehr, um Sport zu machen.",,,,
Enkel,"der Enkel, - die Enkelin, -nen",Alle meine Enkel gehen schon zur Schule.,,,,,
Entfernung,"die Entfernung, -en",Aus dieser Entfernung ist das nicht zu erkennen.,,,,,
Entlassung,"die Entlassung, -en",Seine Entlassung aus der Firma kam überraschend.,,,,,
Entscheidung,"die Entscheidung, -en",Diese wichtige Entscheidung möchte ich zuerst mit meinem Mann besprechen.,,,,,
Entschuldigung,"die Entschuldigung, -en","Oh, Entschuldigung! – Macht nichts. Kein Problem.",,,,,
Enttäuschung,"die Enttäuschung, -en",Das Endspiel war eine große Enttäuschung.,,,,,
Entwicklung,"die Entwicklung, -en",Genug Schlaf ist wichtig für die Entwicklung Ihres Kindes.,,,,,
Erde,die Erde,Die Pflanzen brauchen neue Erde.,Mein Sohn hat das Glas auf die Erde fallen lassen.,An der Konferenz nehmen Vertreter aus fast allen Ländern der Erde teil.,,,
Erdapfel,"der Erdapfel, ¨- (A) ? Kartoffel",Kann ich bitte noch Erdäpfel bekommen?,,,,,
Erdgeschoss/ Ergeschoß,"das Erdgeschoss/ Ergeschoß, -e",Unsere Wohnung befindet sich im Erdgeschoss.,,,,,
Ereignis,"das Ereignis, -se",Alle Zeitungen haben über diese Ereignisse berichtet.,Das Konzert war ein großes Ereignis.,,,,
Erfahrung,"die Erfahrung, -en",Ich habe zehn Jahre Erfahrung in diesem Beruf.,Mit diesem Gerät haben wir gute Erfahrungen gemacht.,,,,
Erfindung,"die Erfindung, -en",Die Erfindung des Buchdrucks war sehr wichtig für die Menschen.,,,,,
Erfolg,"der Erfolg, -e",Der Film war ein großer Erfolg.,Ich wünsche Ihnen viel Erfolg bei der Prüfung.,,,,
Ergebnis,"das Ergebnis, -se",Ein so gutes Ergebnis hat uns alle überrascht.,,,,,
Erhöhung,"die Erhöhung, -en",Wir streiken für eine Lohnerhöhung.,,,,,
Erholung,"die Erholung, -en",Ich habe zu viel gearbeitet. Jetzt brauche ich etwas Erholung.,,,,,
Erinnerung,"die Erinnerung, -en",An diese Zeit habe ich viele schöne Erinnerungen.,,,,,
Erkältung,"die Erkältung, -en",Du hast eine schlimme Erkältung!,,,,,
Erklärung,"die Erklärung, -en",Hast du schon die Steuererklärung gemacht?,Die Erklärung der Lehrerin ist besser als die Erklärung im Buch.,,,,
Erlaubnis,die Erlaubnis,Sie hätten ihn vorher um Erlaubnis bitten müssen.,,,,,
Erlebnis,"das Erlebnis, -se",Die Reise war ein tolles Erlebnis.,,,,,
Ermäßigung,"die Ermäßigung, -en",Es gibt eine Ermäßigung für Kinder und Senioren.,,,,,
Ernährung,die Ernährung,Ich finde eine gesunde Ernährung wichtig.,,,,,
Ernte,"die Ernte, -n",Die Ernte ist dieses Jahr gut.,,,,,
Eröffnung,"die Eröffnung, -en",Die Eröffnung der neuen Oper ist am 1. Juni.,,,,,
Ersatz,der Ersatz,Sie bekommen von unserer Firma einen Ersatz für das kaputte Gerät.,,,,,
Erwachsene,"der Erwachsene, -n","Erwachsene zahlen 5 Euro, für Kinder ist der Eintritt frei.",Dieser Film ist nur für Erwachsene.,,,,
Erzählung,"die Erzählung, -en",Diese Erzählung ist sehr berühmt. Du musst sie lesen.,,,,,
Erziehung,die Erziehung,Heute kümmern sich auch viele Väter um die Erziehung der Kinder.,,,,,
Essen,"das Essen, -",Darf ich Sie zum Essen einladen?,Das Essen ist kalt geworden.,,,,
Essig,der Essig,Am Salat fehlt noch etwas Essig.,,,,,
Etage,"die Etage, -n (D, CH) ? Stock","Das Büro ist in der 3. Etage, Zimmer 305.",,,,,
Experte,"der Experte, -n",Ich verstehe ein bisschen was von Computern. Aber ich bin kein Experte.,,,,,
Export,"der Export, -e","Hier ist die Firma Schulz, Import und Export.",Sonja arbeitet in der Exportabteilung.,,,,
Fabrik,"die Fabrik, -en",Ich arbeite in einer Autofabrik.,,,,,
Fach,"das Fach, ¨-er",Die Handtücher sind im obersten Fach links.,Welches Fach magst du in der Schule am liebsten?,,,,
"Fachmann, Fachfrau","der Fachmann die Fachfrau, -en",Meine Schwester ist Computerfachfrau.,,,,,
Fachleute (Pl.),die Fachleute (Pl.),Die suchen Fachleute für dieses Computerprogramm.,,,,,
Fähigkeit,"die Fähigkeit, -en","In seiner Position braucht man die Fähigkeit, andere zu überzeugen.","Ich glaube, sie hat die Fähigkeit dazu.",,,,
Fähre,"die Fähre, -n",Wir nehmen die Fähre über den Bodensee.,,,,,
Fahrbahn,"die Fahrbahn, -en",Fahren Sie bitte vorsichtig. Es sind Kühe auf der Fahrbahn.,,,,,
Fahrer,"der Fahrer, -",Die Fahrerin des Wagens wurde nicht verletzt.,Leonid ist von Beruf Busfahrer.,Während der Fahrt bitte nicht mit dem Fahrer sprechen!,,,
Fahrkarte,"die Fahrkarte, -n ? CH: Billet",Fahrkarten bekommt man am Automaten.,,,,,
Fahrplan,"der Fahrplan, ¨-e",Der Fahrplan hat sich geändert.,Haben Sie schon den neuen Sommerfahrplan?,,,,
Fahrrad,"das Fahrrad, ¨-er ? D, A: Rad; CH: Velo",Sie fährt jeden Morgen mit dem Fahrrad zur Arbeit.,,,,,
Fahrzeug,"das Fahrzeug, -e",Wem gehört das Fahrzeug?,,,,,
Faktor,"der Faktor, -en",Die Creme hat einen hohen Sonnenschutzfaktor.,,,,,
Fall,"der Fall, ¨-e",Was würden Sie in diesem Fall tun?,Rufen Sie auf jeden Fall vorher noch einmal an.,"Für den Fall, dass meine Mutter aus dem Krankenhaus kommt, bleibe ich zu Hause.",,,
Familie,"die Familie, -n",Ich habe eine große Familie.,,,,,
Familienstand,"der Familienstand (D, A) ? Personenstand; CH: Zivilstand",Bei „Familienstand“ musst du „ledig“ ankreuzen.,,,,,
Fantasie/Phantasie,"die Fantasie/Phantasie, -n",Mein Sohn malt sehr gut. Er hat viel Fantasie.,,,,,
Farbe,"die Farbe, -n",Welche Farbe magst du am liebsten?,Diese Farbe trocknet schnell.,,,,
Faschierte,"das Faschierte (A) ? D, CH: Hackfleisch",Geben Sie mir bitte 500 g Faschiertes.,,,,,
Fasching,"der Fasching, - (D, A) ? D: Karneval; CH: Fasnacht",Dort hängt mein Kostüm für den Faschings(um)zug.,,,,,
Fasnacht,"die Fasnacht (CH) ? D, A: Fasching; D: Karneval",Dort hängt mein Kostüm für den Fasnachtsumzug.,,,,,
Fauteuil,"der Fauteuil, -s (A, CH) ? D, CH: Sessel",Ich hätte gern einen bequemen Fauteuil.,,,,,
Fehler,"der Fehler, -","Ich glaube, da haben Sie einen Fehler gemacht.",Die Schülerin hat den Fehler sofort gefunden.,,,,
Feier,"die Feier, -n",Es war eine schöne Feier.,,,,,
Feierabend,der Feierabend,Einen schönen Feierabend.,,,,,
Feiertag,"der Feiertag, -e",Am Montag ist Feiertag.,Schöne Feiertage.,,,,
Feld,"das Feld, -er",Auf diesem Feld wächst Gemüse.,,,,,
Fenster,"das Fenster, -",Darf ich einen Moment das Fenster aufmachen?,,,,,
Ferien,"die Ferien (Pl.) (CH) ? D, A: Urlaub",Ich habe noch drei Tage Ferien.,,,,,
Fernbedienung,"die Fernbedienung, -en",Hast du die Fernbedienung gesehen?,,,,,
Fernsehen,das Fernsehen,Was gibt es heute Abend im Fernsehen?,,,,,
Fernseher,"der Fernseher, -",Der Fernseher ist schon wieder kaputt.,,,,,
Fest,"das Fest, -e","Wenn ich 18 werde, feiern wir ein großes Fest.",Frohes Fest!,,,,
Festplatte,"die Festplatte, -n",Mein Computer hat eine große Festplatte.,,,,,
Fett,das Fett,Man soll nicht so viel Fett essen.,,,,,
Feuer,das Feuer,Der Schaden durch das Feuer war sehr groß.,Haben Sie Feuer?,,,,
Feuerzeug,"das Feuerzeug, -e",Ist das Feuerzeug neu?,,,,,
Feuerwehr,"die Feuerwehr, -en",Schnell! Rufen Sie die Feuerwehr! Die Nummer ist: 112.,,,,,
Fieber,das Fieber,Plötzlich habe ich hohes Fieber bekommen.,,,,,
Figur,"die Figur, -en",Lars hat eine gute Figur.,Bei diesem Spiel hat jeder Spieler vier Figuren.,,,,
Film,"der Film, -e",Den Film musst du dir unbedingt ansehen.,,,,,
Finger,"der Finger, -",Alessandro hat sich in den Finger geschnitten.,,,,,
Firma,"die Firma, Firmen",Seit wann arbeiten Sie bei dieser Firma?,,,,,
Fläche,"die Fläche, -n",Unsere Wohnung hat eine Wohnfläche von 100 m².,,,,,
Flasche,"die Flasche, -n",Wo kann man die leeren Flaschen zurückgeben?,Eine Flasche Bier bitte.,,,,
Fleck,"der Fleck, -en",Du hast einen Fleck auf der Bluse.,,,,,
Fleisch,das Fleisch,Fleisch mag ich nicht.,,,,,
"Fleischhauer, Fleischauerin","der Fleischhauer, - die Fleischhauerin, -nen (A) ? Metzger",Dieser Fleischhauer macht sehr gute Wurst.,,,,,
Flucht,die Flucht,Der Einbrecher war schon auf der Flucht.,,,,,
Flohmarkt,"der Flohmarkt, ¨-e die Flöte, -n",Diesen Hut habe ich am Flohmarkt gekauft. Sie spielt sehr schön Flöte.,,,,,
Flug,"der Flug, ¨-e",Ich habe den Flug für Sie gebucht.,,,,,
Flughafen,"der Flughafen, ¨-",Der Flughafen liegt 30 km außerhalb der Stadt.,,,,,
Flugzeug,"das Flugzeug, -e",Das Flugzeug ist gerade gelandet.,,,,,
Flur,"der Flur, -e ? Gang; D, CH: Korridor",Wir warten draußen im Flur.,,,,,
Fluss,"der Fluss, ¨-e",Wie heißt dieser Fluss?,,,,,
Flüssigkeit,"die Flüssigkeit, -en",Dieses Medikament mit viel Flüssigkeit einnehmen.,,,,,
Folge,"die Folge, -n",Die Folgen des Unfalls waren schlimm.,,,,,
Forderung,"die Forderung, -en",Alle Forderungen der Arbeitnehmer kann man in dieser E-Mail lesen.,,,,,
Förderung,"die Förderung, -en",Für das Projekt bekommen wir eine Förderung von der Stadt.,,,,,
Form,"die Form, -en",Diese Schuhe haben eine schöne Form.,Ich möchte für den Geburtstag einen Kuchen backen. Kannst du mir eine Backform leihen?,,,,
Formular,"das Formular, -e",Füllen Sie bitte dieses Formular aus.,,,,,
Forschung,"die Forschung, -en",Er arbeitet in der Forschung.,,,,,
Fortbildung,"die Fortbildung, -en","Die Fortbildung, die ich machen will, ist sehr teuer.",,,,,
Fortschritt,"der Fortschritt, -e",Ich habe beim Deutschlernen große Fortschritte gemacht.,,,,,
Fortsetzung,"die Fortsetzung, -en",Fortsetzung folgt.,,,,,
Forum,"das Forum, Foren (Internetforum)",Ich melde mich heute bei diesem Forum an.,,,,,
Foto,"das Foto, -s",Können Sie dieses Foto vergrößern?,,,,,
Fotoapparat,"der Fotoapparat, -e",Ich möchte mir einen Fotoapparat kaufen.,,,,,
Fotograf,"der Fotograf, -en",Die Fotografin hat sehr schöne Fotos gemacht.,,,,,
Fotografie,"die Fotografie, -n",Ich interessiere mich für Fotografie.,,,,,
Frage,"die Frage, -n",Ich habe Ihre Frage leider nicht verstanden.,Das kommt gar nicht infrage!,,,,
Frau,"die Frau, -en",In meinem Deutschkurs sind mehr Frauen als Männer.,Ist Ihre Frau berufstätig?,"Guten Tag, Frau Müller!",,,
Freiheit,die Freiheit,"Wir wollen die Freiheit haben, unsere Meinung sagen zu können.",,,,,
Freizeit,die Freizeit,In meiner Freizeit höre ich gern Musik.,,,,,
Freude,die Freude,Diese Arbeit macht mir viel Freude.,,,,,
Freund,"der Freund, -e",Ich sehe meine Freunde nur am Wochenende.,,,,,
Freundschaft,"die Freundschaft, -en",Deine Freundschaft ist mir sehr wichtig.,,,,,
Friede,"der Friede, Frieden, -",Endlich ist hier Frieden!,,,,,
"Friseur, Friseurin","der Friseur, -e die Friseurin, -nen (D, A) ? CH: Coiffeur",Du siehst toll aus! Wer ist dein Friseur?,Meine Tochter will Friseurin werden.,,,,
Frisur,"die Frisur, -en",Du hast eine tolle Frisur! Warst du beim Friseur?,,,,,
Frist,"die Frist, -en",Die Frist für die Anmeldung zum Deutschkurs ist abgelaufen.,,,,,
Frucht,"die Frucht, ¨-e",Welche Früchte kann man essen?,,,,,
Frühstück,das Frühstück,Wir sitzen gerade beim Frühstück.,Sollen wir Ihnen das Frühstück aufs Zimmer bringen?,,,,
Führerausweis,"der Führerausweis, -e (CH) ? D, A: Führerschein",Hast du einen Führerausweis?,,,,,
Führerschein,"der Führerschein, -e (D, A) ? CH: Führerausweis",Hast du einen Führerschein?,Ich habe vor einem halben Jahr den Führerschein gemacht.,,,,
Führung,"die Führung, -en",Die nächste Führung beginnt um 15 Uhr.,Bayern München liegt in Führung.,,,,
Fundbüro,"das Fundbüro, -s",Sie haben Ihren Schirm verloren. Da fragen Sie am besten im Fundbüro.,,,,,
Fuß,"der Fuß, ¨-e",Er hat sich den linken Fuß gebrochen.,Sind Sie zu Fuß gekommen?,,,,
Fußball,"der Fußball, ¨-e",Spielt ihr gerne Fußball?,Jonas wünscht sich zu Weihnachten einen neuen Fußball.,,,,
"Fußgänger, Fußgängerin","der Fußgänger, - die Fußgängerin, -nen",Dieser Weg ist nur für Fußgänger.,,,,,
Fußgängerzone,"die Fußgängerzone, -n",Wir treffen uns um 15 Uhr in der Fußgängerzone.,,,,,
Gabel,"die Gabel, -n",Wir brauchen bitte noch eine Gabel.,,,,,
Galerie,"die Galerie, -n",Diese Galerie ist sehr interessant.,,,,,
Gang,"der Gang, ¨-e","Wir warten draußen im Gang. ( ? D, CH: Korridor; D: Flur)",Schalten Sie bitte jetzt in den dritten Gang.,Was möchten Sie als ersten Gang? Suppe oder Salat?,,,
Garage,"die Garage, -n",Hier ist eine Garage zu vermieten.,,,,,
Garantie,die Garantie,Auf die Waschmaschine haben Sie ein Jahr Garantie.,,,,,
Garderobe,"die Garderobe, -n",Die Mäntel bitte an der Garderobe abgeben.,"Bitte, achten Sie auf Ihre Garderobe.",,,,
Garten,"der Garten, ¨-",Wir haben einen schönen großen Garten.,,,,,
Gas,das Gas,Wir kochen mit Gas.,Gib Gas! Die Ampel ist grün.,,,,
Gast,"der Gast, ¨-e",Wir haben heute Abend Gäste.,Der Gast hat sich über das Essen beschwert.,,,,
Gasthaus,"das Gasthaus, ¨-er (A)",Gehen wir noch in ein Gasthaus ein Bier trinken?,,,,,
Gaststätte,"die Gaststätte, -n (D)",Ich arbeite seit einem Monat in einer Gaststätte.,,,,,
Gebäude,"das Gebäude, -",In diesem Gebäude sind nur Büros.,,,,,
Gebäck,das Gebäck,Das Gebäck ist ganz frisch.,,,,,
Gebiet,"das Gebiet, -e",In diesem Gebiet gibt es kaum Industrie.,Die Zeitschrift berichtet regelmäßig über Fortschritte auf dem Gebiet der Medizin.,,,,
Gebirge,das Gebirge,Wir haben unseren Urlaub im Gebirge verbracht.,,,,,
Gebrauchsanweisung,"die Gebrauchsanweisung, -en",Lesen Sie bitte zuerst die Gebrauchsanweisung.,,,,,
Gebühr,"die Gebühr, -en",Die Gebühr liegt bei 60 Euro.,,,,,
Geburt,"die Geburt, -en",Wir gratulieren zur Geburt eures Kindes!,,,,,
Geburtstag,"der Geburtstag, -e",Herzlichen Glückwunsch zum Geburtstag!,,,,,
Gedicht,"das Gedicht, -e",Kennst du ein schönes Gedicht?,,,,,
Geduld,die Geduld,Bitte haben Sie etwas Geduld.,,,,,
Gefahr,"die Gefahr, -en",Betreten der Baustelle auf eigene Gefahr.,,,,,
Gefängnis,"das Gefängnis, -se",Er wurde zu fünf Jahren Gefängnis verurteilt.,,,,,
Gefühl,"das Gefühl, -e","Ich glaube, ich schaffe die Prüfung. Ich habe ein gutes Gefühl.",,,,,
Gegner,"der Gegner, -",Sie ist eine Gegnerin von Tierversuchen.,Die Mannschaft aus Frankreich war ein sehr starker Gegner.,,,,
Gegend,"die Gegend, -en",Der Schwarzwald ist eine sehr schöne Gegend.,Die Schule muss hier in der Gegend sein.,,,,
Gegensatz,"der Gegensatz, ¨-e",Diese beiden Meinungen stehen in starkem Gegensatz zueinander.,Im Gegensatz zu ihm ist sein Vater ziemlich klein.,,,,
Gegenstand,"der Gegenstand, ¨-e",Ich schließe meine persönlichen Gegenstände im Schwimmbad lieber in ein Fach ein.,Eine Durchsage der Polizei: Auf der A8 liegen Gegenstände auf der Fahrbahn.,,,,
Gegenteil,"das Gegenteil, -e",Das Gegenteil von „klein“ ist „groß“.,Sie ist das genaue Gegenteil von ihrem Bruder.,"Du bist sicher müde. – Nein, ganz im Gegenteil!",,,
Gehalt,"das Gehalt, ¨-er",Ich bin mit meinem Gehalt zufrieden.,,,,,
Geheimnis,"das Geheimnis, -se",Das kann ich dir nicht sagen. Das ist ein Geheimnis.,,,,,
Gehsteig,"der Gehsteig (D, A) ? CH: Trottoir",Das Fahrradfahren auf dem Gehsteig ist nicht erlaubt.,,,,,
Geld,das Geld,Ich habe nicht genug Geld dabei.,Sie haben mir zu viel Wechselgeld gegeben.,,,,
Geldautomat,"der Geldautomat, -en (D) ? A, CH: Bancomat/Bankomat",Ich hole noch Geld vom Geldautomaten.,,,,,
Geldbörse,"die Geldbörse, -n (A) ? Brieftasche; D, CH: Portemonnaie/Portmonee",Ich habe nur Kleingeld in meiner Geldbörse.,,,,,
Gelegenheit,"die Gelegenheit, -en","Das Fest ist eine gute Gelegenheit, unsere Freunde zu sehen.",,,,,
Gemeinschaft,"die Gemeinschaft, -en",Rauchen ist in den Gemeinschafts-räumen nicht erlaubt.,,,,,
Gemüse,das Gemüse,Wir kaufen das Gemüse direkt beim Bauern.,,,,,
Generation,"die Generation, -en",In diesem Haus wohnen drei Generationen zusammen.,,,,,
Gepäck,das Gepäck,Ich habe mein Gepäck am Bahnhof gelassen.,,,,,
Gerät,"das Gerät, -e",Ich kaufe meine Elektrogeräte immer gebraucht. Das ist viel billiger.,,,,,
Gericht,"das Gericht, -e",Ich habe heute Vormittag einen Termin beim Gericht.,Mein Lieblingsgericht ist Pizza.,,,,
Geschäft,"das Geschäft, -e",Die Geschäfte schließen um 18.30 Uhr.,"Wissen Sie, wo hier ein Schuhgeschäft ist?",,,,
Geschenk,"das Geschenk, -e",Vielen Dank für das Geschenk.,,,,,
Geschichte,"die Geschichte, -n",Ich interessiere mich nicht für Geschichte.,Abends erzähle ich meinen Kindern immer eine Geschichte.,,,,
Geschirr,das Geschirr,Für die Geburtstagsfeier brauche ich Geschirr für zwölf Personen.,,,,,
Geschlecht,"das Geschlecht, -er",Bitte kreuzen Sie an: „Geschlecht: weiblich/männlich“.,,,,,
Geschmack,der Geschmack,Ich möchte bitte Kaugummi mit Erdbeergeschmack.,,,,,
Geschwindigkeit,"die Geschwindigkeit, -en",Das Auto fuhr mit zu hoher Geschwindigkeit.,,,,,
Geschwindigkeitsbeschränkung,"die Geschwindigkeitsbeschränkung, -en",Bitte beachten Sie die Geschwindigkeitsbeschränkungen.,,,,,
Geschwister (Pl.),die Geschwister (Pl.),Die Geschwister sehen sich nur selten.,,,,,
Gesellschaft,"die Gesellschaft, -en",Er will die Gesellschaft verändern.,Meine Frau arbeitet bei einer Versicherungsgesellschaft.,Ich fühle mich in großer Gesellschaft wohl.,,,
Gesetz,"das Gesetz, -e",Das Parlament hat ein neues Gesetz beschlossen.,,,,,
Gesicht,"das Gesicht, -er",Wasch dir bitte das Gesicht.,Mach doch kein so trauriges Gesicht!,,,,
Gespräch,"das Gespräch, -e",Herr Müller ist gerade in einem Gespräch.,Ich erwarte ein Gespräch aus Berlin.,,,,
Gesundheit,die Gesundheit,Sie müssen mehr auf Ihre Gesundheit achten.,Gesundheit! Sind Sie erkältet?,,,,
Getränk,"das Getränk, -e",Besorgst du bitte die Getränke?,Bitte die Getränkekarte!,Mein Lieblingsgetränk ist Tomatensaft.,,,
Gewalt,"die Gewalt, -en","Ich mag keine Filme, in denen Gewalt vorkommt.",Die Tür ließ sich nur mit Gewalt öffnen.,,,,
Gewerkschaft,"die Gewerkschaft, -en",Die Gewerkschaft vertritt die Interessen der Arbeitnehmer.,,,,,
Gewicht,"das Gewicht, -e",Wie teuer ist das Päckchen? – Das hängt vom Gewicht ab.,Sie dürfen Gepäck bis zu einem Gewicht von 15 kg mitnehmen.,,,,
Gewinn,"der Gewinn, -e",Ich habe bei einem Ratespiel mitgemacht. Der Hauptgewinn ist ein Auto.,,,,,
Gewissen,das Gewissen,Ich habe deinen Geburtstag vergessen. Ich habe ein ganz schlechtes Gewissen.,,,,,
Gewitter,"das Gewitter, -",Es wird gleich ein Gewitter geben.,,,,,
Gewohnheit,"die Gewohnheit, -en","Er hat die Gewohnheit, morgens zuerst die Post zu erledigen.",Aus alter Gewohnheit treffen wir uns jeden Samstagabend.,,,,
Gewürz,"das Gewürz, -e",Von den scharfen Gewürzen bekommt man Durst.,,,,,
Gift,"das Gift, -e","Vorsicht, das Gift dieser Pflanze ist für Menschen gefährlich!",,,,,
Gitarre,"die Gitarre, -n",Ich spiele seit drei Jahren Gitarre.,,,,,
Glas,"das Glas, ¨-er","Vorsicht, die Kanne ist aus Glas!",Eine Flasche Mineralwasser und zwei Gläser bitte!,Ein Glas Bier bitte.,,,
Gleis,"das Gleis, -e",Der Zug fährt heute von Gleis 7 ab.,,,,,
Glück,das Glück,Du hast dich nicht verletzt. Da hast du Glück gehabt.,Viel Glück bei der Prüfung!,Es hat geregnet. Zum Glück hatte ich einen Regenschirm dabei.,,,
Glückwunsch,"der Glückwunsch, ¨-e",Herzlichen Glückwunsch zum Geburtstag!,,,,,
Gold,das Gold,"Ist der Ring aus Gold? Nein, der sieht nur so aus.",,,,,
Gott,"der Gott, ¨-er",Glaubst du an Gott?,Gott sei Dank ist ihm nichts passiert.,,,,
Grafik,"die Grafik, -en",Die Grafik zeigt die Temperaturen im letzten Jahr.,,,,,
Gras,das Gras,Wir lagen den ganzen Tag im Gras.,,,,,
Gratulation,"die Gratulation, -en",Herzliche Gratulation! Sie haben gewonnen!,,,,,
Grenze,"die Grenze, -n",An der Grenze musst du deinen Ausweis zeigen.,,,,,
