german,english,german_full,s1,t1,s2,t2,s3,t3,s4,t4,s5,t5,s6,t6,s7,t7
sich bewerben,to apply,"sich bewerben, bewirbt sich, bewarb sich, hat sich beworben",Ich habe mich um diese Stelle beworben.,I have applied for this position.,Ich habe mich als Kellner beworben.,I applied for a job as a waiter.,,,,,,,,,,
bezahlen,to pay,"bezahlen, bezahlt, bezahlte, hat bezahlt",Hast du die Rechnung schon bezahlt?,Have you already paid the bill?,,,,,,,,,,,,
bieten,to offer,"bieten, bietet, bot, hat geboten",Er hat mir für den alten Wagen noch 800 Euro geboten.,He offered me another 800 euros for the old car.,"Die Firma bietet ihren Mitarbeitern die Möglichkeit, Sprachkurse zu besuchen.",The company offers its employees the opportunity to attend language courses.,,,,,,,,,,
bitten,to ask (for something),"bitten, bittet, bat, hat gebeten um","Darf ich Sie bitten, kurz zuzuhören?",May I ask you to listen for a moment?,Der Arzt bat um eine Probe.,The doctor asked for a specimen.,,,,,,,,,,
bleiben,to stay,"bleiben, bleibt, blieb, ist geblieben",Ich bleibe heute zu Hause.,I'm staying at home today.,Im Juni und Juli bleibt unser Geschäft samstags geschlossen.,Our store is closed on Saturdays in June and July.,Bleiben Sie bitte am Apparat.,Please stay on the line.,Bleiben Sie doch sitzen!,Why don't you stay seated?,Wir bleiben nur bis morgen.,We're only staying until tomorrow.,,,,
blitzen,"to flash, sparkle","blitzen, blitzt, blitzte, hat geblitzt",Gestern Abend gab es ein Gewitter. Es hat furchtbar geblitzt und gedonnert.,There was a thunderstorm last night. There was terrible lightning and thunder.,Ihre Augen blitzen vor Freude.,Her eyes sparkle with joy.,,,,,,,,,,
blühen,to bloom,"blühen, blüht, blühte, hat geblüht",Die Bäume blühen schon. Es ist Frühling.,The trees are already in bloom. It is spring.,,,,,,,,,,,,
bluten,to bleed,"bluten, blutet, blutete, hat geblutet",Ich habe mich verletzt. Meine Hand blutet.,I have injured myself. My hand is bleeding.,,,,,,,,,,,,
braten,to fry,"braten, brät, briet, hat gebraten",Das Fleisch muss zehn Minuten braten.,The meat must roast for ten minutes.,Heute gibt’s gebratenen Fisch.,Today we're having fried fish.,,,,,,,,,,
brauchen,to need,"brauchen, braucht, brauchte, hat gebraucht",Ich brauche ein Auto.,I need a car.,Brauchst du die Zeitung noch?,Do you still need the newspaper?,Meine Großmutter ist krank. Sie braucht viel Ruhe.,My grandmother is ill. She needs a lot of rest.,Ich habe für die Renovierung eine Woche gebraucht.,It took me a week to complete the renovation.,Sie brauchen morgen nicht zu kommen. Ich schaffe das alleine.,You don't need to come tomorrow. I can manage on my own.,,,,
brechen,to break,"brechen, bricht, brach, hat gebrochen","Er hat sich beim Skifahren verletzt, sein Bein ist gebrochen.","He injured himself while skiing, his leg is broken.",Ich habe mir im Urlaub das Bein gebrochen.,I broke my leg on vacation.,,,,,,,,,,
bremsen,to brake,"bremsen, bremst, bremste, hat gebremst",Der Mann ist ganz plötzlich über die Straße gegangen. Ich musste stark bremsen.,The man suddenly crossed the road. I had to brake hard.,,,,,,,,,,,,
brennen,to burn,"brennen, brennt, brannte, hat gebrannt",In diesem Haus hat es letztes Jahr gebrannt.,There was a fire in this house last year.,Die Kerze brennt noch. Mach sie bitte aus.,The candle is still burning. Please put it out.,In deinem Zimmer hat die ganze Nacht das Licht gebrannt.,The light has been on in your room all night.,,,,,,,,
bringen,to bring,"bringen, bringt, brachte, hat gebracht",Bringen Sie mir bitte ein Glas Tee!,Please bring me a glass of tea!,Ich bringe dich nach Hause.,I'll take you home.,Die Abendzeitung hat einen Bericht über den Unfall gebracht.,The Abendzeitung newspaper published a report on the accident.,,,,,,,,
buchen,to book,"buchen, bucht, buchte, hat gebucht",Ich habe für morgen einen Flug nach Rom gebucht.,I have booked a flight to Rome for tomorrow.,,,,,,,,,,,,
buchstabieren,to spell,"buchstabieren, buchstabiert, buchstabierte, hat buchstabiert",Würden Sie Ihren Namen bitte buchstabieren?,Could you please spell your name?,,,,,,,,,,,,
danken,to thank,"danken, dankt, dankte, hat gedankt für",Ich danke dir für die Einladung.,Thank you for the invitation.,,,,,,,,,,,,
darstellen,"to represent, depict","darstellen, stellt dar, stellte dar, hat dargestellt",Er konnte das Problem sehr gut darstellen.,He was able to present the problem very well.,,,,,,,,,,,,
dauern,to last,"dauern, dauert, dauerte, hat gedauert",Wie lange dauert die Pause? – Eine halbe Stunde.,How long does the break last? - Half an hour.,,,,,,,,,,,,
dekorieren,to decorate,"dekorieren, dekoriert, dekorierte, hat dekoriert","Hilfst du mir, den Tisch für die Party zu dekorieren?",Can you help me decorate the table for the party?,,,,,,,,,,,,
denken,to think,"denken, denkt, dachte, hat gedacht an/über/von",Du lachst - was denkst du gerade?,You're laughing - what are you thinking?,"Ich denke, dass du recht hast.",I think you're right.,Wir diskutieren gerade über das Rauchen. Wie denken Sie darüber?,We are currently discussing smoking. What do you think about it?,"Denk bitte daran, die Heizung auszumachen.",Please remember to turn off the heating.,"Es ist mir ganz egal, was die Leute von mir denken.",I don't care what people think of me.,Ich denke oft an meine Familie.,I often think about my family.,"Ich hatte mir gedacht, dass wir zusammen fahren könnten.",I had thought that we could ride together.
dienen,to serve,"dienen, dient, diente, hat gedient",Solche Kontakte dienen der Verbesserung der internationalen Beziehungen.,Such contacts serve to improve international relations.,Dieser Raum dient als Aufenthaltsraum.,This room serves as a lounge.,Er hat der Firma viele Jahre lang gedient.,He has served the company for many years.,,,,,,,,
diskutieren,to discuss,"diskutieren, diskutiert, diskutierte, hat diskutiert","Wir haben lange diskutiert, wie wir das Büro einrichten sollen.",We spent a long time discussing how we should furnish the office.,,,,,,,,,,,,
donnern,to thunder,"donnern, donnert, donnerte, hat gedonnert",Hörst du es donnern? Das Gewitter kommt näher.,Can you hear it thundering? The storm is getting closer.,Der Lkw donnert über die Landstraße.,The truck thunders along the highway.,,,,,,,,,,
drehen,to turn,"drehen, dreht, drehte, hat gedreht",Drehen Sie zum Einschalten den Schalter nach rechts.,Turn the switch to the right to switch on.,Die Kinder drehen sich zur Musik im Kreis.,The children turn in circles to the music.,Bei Familie Huber dreht sich jetzt alles um das Baby.,"For the Huber family, everything now revolves around the baby.",,,,,,,,
drucken,to print,"drucken, druckt, druckte, hat gedruckt",Warum hast du den Brief noch nicht ausgedruckt?,Why haven't you printed out the letter yet?,Bei welcher Firma haben Sie diese Prospekte drucken lassen?,Which company did you have these brochures printed by?,Du gehst einfach auf „Datei drucken“!,"Simply click on ""Print file""!",,,,,,,,
drücken,to press,"drücken, drückt, drückte, hat gedrückt",Sie brauchen nur auf den Knopf zu drücken.,All you have to do is press the button.,Die neuen Schuhe drücken.,The new shoes pinch.,"Wenn du hier drückst, geht die Tür auf.","If you press here, the door will open.",,,,,,,,
dürfen,"to may, be allowed","dürfen, darf, durfte, hat gedurft (hat dürfen als Modalverb)",Dürfen wir heute länger fernsehen?,Are we allowed to watch TV for longer today?,Sie dürfen hier nicht parken.,You are not allowed to park here.,Das hätten Sie nicht machen dürfen!,You shouldn't have done that!,Was darf ich Ihnen anbieten?,What can I offer you?,Ich suche ein gebrauchtes Auto. Es darf nicht mehr als 1000 Euro kosten.,I am looking for a used car. It must not cost more than 1000 euros.,,,,
(sich) duschen,to take a shower,"(sich) duschen, duscht, duschte, hat geduscht",Wenn Sie sich duschen wollen: Das Badezimmer ist dort hinten links.,If you want to take a shower: The bathroom is back there on the left.,"Ich bade nicht so gern, ich dusche lieber.","I don't like bathing that much, I prefer showering.",,,,,,,,,,
duzen,to be on first name terms,"duzen, duzt, duzte, hat geduzt","Wollen wir Du zueinander sagen? Ja, wir können uns gern duzen?","Shall we say you to each other? Yes, we can be on first-name terms?",,,,,,,,,,,,
sich eignen,to be suited,"sich eignen, eignet sich, eignete sich, hat sich geeignet",Dieses Hotel eignet sich besonders für Familien mit Kindern.,This hotel is particularly suitable for families with children.,,,,,,,,,,,,
eilen,to hurry,"eilen, eilt, eilte, hat/ist geeilt",Es eilt sehr. Bitte machen Sie schnell.,It's very urgent. Please do it quickly.,,,,,,,,,,,,
einbrechen,to break in,"einbrechen, bricht ein, brach ein, ist eingebrochen",Jemand ist in unsere Wohnung eingebrochen.,Someone has broken into our apartment.,,,,,,,,,,,,
einfallen,"to come to mind, collapse","einfallen, fällt ein, fiel ein, ist eingefallen","Mir ist wieder eingefallen, wie das Buch heißt.",I remembered the name of the book.,"Das Kartenhaus fiel ein, als ein Windstoß durch das Zimmer wehte.",The house of cards collapsed when a gust of wind went through the room.,,,,,,,,,,
beeinflussen,to influence,"beeinflussen, beeinflusst, beeinflusste, hat beeinflusst",Dieses Ereignis hat die Wahlen beeinflusst.,This event influenced the elections.,,,,,,,,,,,,
einfügen,"to insert, paste","einfügen, fügt ein, fügte ein, hat eingefügt","Markieren Sie zuerst die Zeilen, dann „kopieren“ drücken und dann einfügen.","First select the lines, then press copy"" and then paste.""",,,,,,,,,,,,
einführen,to introduce,"einführen, führt ein, führte ein, hat eingeführt",Dürfen wir diese Ware ins Land einführen?,Are we allowed to import these goods into the country?,Wir haben letztes Jahr ein neues System eingeführt.,We introduced a new system last year.,,,,,,,,,,
sich einigen,to come to an agreement,"sich einigen, einigt sich, einigte sich, hat sich geeinigt",Jeder hat einen anderen Vorschlag. Wir können uns leider nicht einigen.,"Everyone has a different proposal. Unfortunately, we can't agree.",,,,,,,,,,,,
einkaufen,to shop,"einkaufen, kauft ein, kaufte ein, hat eingekauft",Wir gehen einmal pro Woche einkaufen.,We go shopping once a week.,,,,,,,,,,,,
einladen,to invite,"einladen, lädt ein, lud ein, hat eingeladen",Darf ich Sie zum Essen einladen?,May I invite you to dinner?,,,,,,,,,,,,
einnehmen,to take,"einnehmen, nimmt ein, nahm ein, hat eingenommen",Wie muss ich die Tropfen einnehmen?,How should I take the drops?,,,,,,,,,,,,
einpacken,to pack,"einpacken, packt ein, packte ein, hat eingepackt",Hast du Handtücher eingepackt?,Did you pack towels?,Soll ich Ihnen das als Geschenk einpacken?,Would you like me to wrap this as a present?,,,,,,,,,,
einrichten,"to furnish, set up","einrichten, richtet ein, richtete ein, hat eingerichtet",Ich habe meine Wohnung selbst eingerichtet.,I furnished my apartment myself.,"Wenn Sie Fragen haben, rufen Sie uns an. Wir haben eine extra Telefon-nummer eingerichtet.","If you have any questions, please call us. We have set up an extra telephone number.",,,,,,,,,,
einschalten,to switch on,"einschalten, schaltet ein, schaltete ein, hat eingeschaltet",Können Sie bitte die Heizung einschalten?,Can you please turn on the heating?,,,,,,,,,,,,
einsetzen,"to insert, employ","einsetzen, setzt ein, setzte ein, hat eingesetzt","Ich glaube, wir müssen jemanden einsetzen, der sich um die Organisation kümmert.",I think we need to appoint someone to take care of the organization.,"Peter hat sich dafür eingesetzt, dass ich den Job bekomme.",Peter worked hard to get me the job.,,,,,,,,,,
einsteigen,to get in,"einsteigen, steigt ein, stieg ein, ist eingestiegen",Ab 20 Uhr vorne beim Fahrer einsteigen.,Get in at the front with the driver from 8 pm.,Steig ein. Wir wollen losfahren.,Get in. We want to set off.,,,,,,,,,,
einstellen,to set,"einstellen, stellt ein, stellte ein, hat eingestellt",Die Firma wird in diesem Jahr drei neue Leute einstellen.,The company will hire three new people this year.,Das Gerät ist nicht richtig eingestellt.,The device is not set correctly.,,,,,,,,,,
eintragen,"to register, enter","eintragen, trägt ein, trug ein, hat eingetragen",Tragen Sie sich bitte in die Liste ein.,Please add your name to the list.,,,,,,,,,,,,
eintreten,to enter,"eintreten, tritt ein, trat ein, ist eingetreten",Letztes Jahr bin ich in einen Sportverein eingetreten.,Last year I joined a sports club.,,,,,,,,,,,,
einzahlen,to deposit,"einzahlen, zahlt ein, zahlte ein, hat eingezahlt",Ich habe gestern Geld auf mein Bankkonto eingezahlt.,I deposited money into my bank account yesterday.,,,,,,,,,,,,
einziehen,to move in,"einziehen, zieht ein, zog ein, ist eingezogen",Die Wohnung ist fertig. Wir können nächste Woche einziehen.,The apartment is ready. We can move in next week.,,,,,,,,,,,,
empfangen,to receive,"empfangen, empfängt, empfing, hat empfangen",Wir können mit unserem Fernseher über 30 Programme empfangen.,We can receive over 30 programs on our television.,Die Gäste wurden sehr herzlich empfangen.,The guests received a very warm welcome.,,,,,,,,,,
empfehlen,to recommend,"empfehlen, empfiehlt, empfahl, hat empfohlen",Was können Sie mir denn empfehlen?,What can you recommend?,,,,,,,,,,,,
enden,to end,"enden, endet, endete, hat geendet",Die Straße endet hier.,The road ends here.,Das Arbeitsverhältnis endet im Mai.,The employment relationship ends in May.,,,,,,,,,,
entdecken,to discover,"entdecken, entdeckt, entdeckte, hat entdeckt",Ich habe in deinem Brief noch ein paar Fehler entdeckt.,I discovered a few more mistakes in your letter.,,,,,,,,,,,,
entfernen,to remove,"entfernen, entfernt, entfernte, hat entfernt",Der Müll muss dringend entfernt werden.,The garbage must be removed urgently.,Das Hotel liegt etwa 100 m vom Strand entfernt.,The hotel is about 100 m from the beach.,,,,,,,,,,
enthalten,to contain,"enthalten, enthält, enthielt, hat enthalten",Diese Schokolade enthält nur sehr wenig Zucker.,This chocolate contains very little sugar.,Ist die Änderung im Preis enthalten?,Is the change included in the price?,,,,,,,,,,
entlassen,to dismiss,"entlassen, entlässt, entließ, hat entlassen",Die Operation ist gut gelaufen. Wir können Sie nächste Woche aus dem Krankenhaus entlassen.,The operation went well. We will be able to discharge you from hospital next week.,Die Firma hat viele Mitarbeiter entlassen.,The company has laid off many employees.,,,,,,,,,,
entscheiden,to decide,"entscheiden, entscheidet, entschied, hat entschieden","Das kann ich nicht allein entscheiden, da muss ich erst fragen.","I can't decide that on my own, I have to ask first.",Für welchen Anzug haben Sie sich entschieden?,Which suit did you choose?,,,,,,,,,,
sich entschließen,to decide,"sich entschließen, entschließt sich, entschloss sich, hat sich entschlossen","Mein Nachbar hat sich nun doch entschlossen, sein Auto zu verkaufen.",My neighbor has now decided to sell his car after all.,,,,,,,,,,,,
entschuldigen,to apologize,"entschuldigen, entschuldigt, entschuldigte, hat entschuldigt","Entschuldigen Sie bitte, dass ich Sie störe. Aber es gibt ein Problem.",I apologize for disturbing you. But there is a problem.,"Herr Meier lässt sich entschuldigen, er ist stark erkältet.","Mr. Meier sends his apologies, he has a bad cold.",,,,,,,,,,
entsorgen,to dispose of,"entsorgen, entsorgt, entsorgte, hat entsorgt",Wie kann ich meine alte Kaffeemaschine entsorgen?,How can I dispose of my old coffee machine?,,,,,,,,,,,,
entstehen,to arise,"entstehen, entsteht, entstand, ist entstanden",Hier entsteht ein neues Einkaufszentrum.,A new shopping center is being built here.,Andere Kosten entstehen nicht.,There are no other costs.,,,,,,,,,,
enttäuschen,to disappoint,"enttäuschen, enttäuscht, enttäuschte, hat enttäuscht",Leider hat mich sein Verhalten enttäuscht.,"Unfortunately, his behavior disappointed me.",Wir waren von dem Konzert sehr enttäuscht.,We were very disappointed with the concert.,Das Ergebnis war enttäuschend.,The result was disappointing.,,,,,,,,
entwickeln,to develop,"entwickeln, entwickelt, entwickelte, hat entwickelt",Unser Sohn entwickelt sich gut in der Schule.,Our son is developing well at school.,Die Firma hat ein neues Produkt entwickelt.,The company has developed a new product.,,,,,,,,,,
sich ereignen,to occur,"sich ereignen, ereignet sich, ereignete sich, hat sich ereignet",Der Unfall ereignete sich am frühen Morgen.,The accident happened early in the morning.,,,,,,,,,,,,
erfahren,to experience,"erfahren, erfährt, erfuhr, hat erfahren",Wann erfahren wir das Ergebnis der Prüfung?,When will we know the result of the audit?,,,,,,,,,,,,
erfinden,to invent,"erfinden, erfindet, erfand, hat erfunden",Das Rad wurde vor ca. 6000 Jahren erfunden.,The wheel was invented around 6000 years ago.,,,,,,,,,,,,
erfordern,to require,"erfordern, erfordert, erforderte, hat erfordert",Dieser Job erfordert viel Kraft.,This job requires a lot of strength.,,,,,,,,,,,,
erfüllen,to fulfill,"erfüllen, erfüllt, erfüllte, hat erfüllt",Sie müssen den Vertrag in allen Punkten erfüllen.,You must fulfill the contract in all respects.,Wir erfüllen Ihnen jeden Wunsch.,We fulfill your every wish.,,,,,,,,,,
ergänzen,to complete,"ergänzen, ergänzt, ergänzte, hat ergänzt",Ergänzen Sie bitte die fehlenden Angaben.,Please complete the missing information.,,,,,,,,,,,,
erhalten,"to receive, preserve","erhalten, erhält, erhielt, hat erhalten",Ihr Schreiben vom 3. Januar haben wir erhalten.,We have received your letter dated January 3.,"Es ist wichtig, in der Stadt Grünflächen zu erhalten.",It is important to preserve green spaces in the city.,,,,,,,,,,
erhöhen,to increase,"erhöhen, erhöht, erhöhte, hat erhöht",Die Regierung wird sicher bald wieder die Steuern erhöhen.,The government is sure to raise taxes again soon.,Die Zahl der Unfälle hat sich stark erhöht.,The number of accidents has risen sharply.,,,,,,,,,,
sich erholen,to recover,"sich erholen, erholt sich, erholte sich, hat sich erholt",Im Urlaub habe ich mich sehr gut erholt.,I recovered very well during my vacation.,Er hat sich nach dem Unfall sehr schnell wieder erholt.,He recovered very quickly after the accident.,,,,,,,,,,
(sich) erinnern,"to remember, remind","(sich) erinnern, erinnert, erinnerte, hat erinnert","Bitte, erinnern Sie mich noch einmal an den Termin","Please, remind me again of the date",Ich erinnere mich noch genau an Francescos Vater.,I still remember Francesco's father very well.,,,,,,,,,,
sich erkälten,to catch a cold,"sich erkälten, erkältet sich, erkältete sich, hat sich erkältet",Der Junge hat sich beim Baden erkältet.,The boy caught a cold while bathing.,,,,,,,,,,,,
erkennen,to recognize,"erkennen, erkennt, erkannte, hat erkannt",Ich habe Roberto gleich an seiner Stimme erkannt.,I recognized Roberto immediately by his voice.,Auf dem Foto kann man kaum etwas erkennen.,You can hardly see anything in the photo.,"Ich habe erkannt, dass es ein Fehler war, den Kurs nicht fertigzumachen.",I realized that it was a mistake not to finish the course.,,,,,,,,
erklären,to explain,"erklären, erklärt, erklärte, hat erklärt","Kannst du mir erklären, wie man diesen Apparat bedient?",Can you explain to me how to operate this device?,"Ich kann mir nicht erklären, wie der Brief verschwinden konnte.",I can't explain how the letter could have disappeared.,,,,,,,,,,
sich erkundigen,to inquire,"sich erkundigen, erkundigt sich, erkundigte sich, hat sich erkundigt",Hast du dich schon nach einem Zug erkundigt?,Have you already asked about a train?,"Ich möchte mich erkundigen, wie es Ihnen geht.",I would like to find out how you are doing.,,,,,,,,,,
erlauben,to allow,"erlauben, erlaubt, erlaubte, hat erlaubt","Ich erlaube meinen Kindern nicht, so lange fernzusehen.",I don't allow my children to watch TV for that long.,Parken ist hier nicht erlaubt.,Parking is not permitted here.,,,,,,,,,,
erleben,to experience,"erleben, erlebt, erlebte, hat erlebt",In unserem Urlaub haben wir viel Schönes erlebt.,We experienced many wonderful things on our vacation.,,,,,,,,,,,,
erledigen,"to do, deal with, take of sth.","erledigen, erledigt, erledigte, hat erledigt",Diese zwei Pakete müssen zur Post. Könntest du das für mich erledigen?,These two parcels need to go to the post office. Could you do that for me?,,,,,,,,,,,,
erleichtern,"to facilitate, make easier","erleichtern, erleichtert, erleichterte, hat erleichtert","Ich bin erleichtert, dass alles so gut geklappt hat.",I am relieved that everything worked out so well.,Das Internet erleichtert mir die Arbeit sehr.,The Internet makes my work much easier.,,,,,,,,,,
ernähren,"to feed, nourish","ernähren, ernährt, ernährte, hat ernährt",Wie ernähre ich mich richtig?,How do I eat right?,"Meine Eltern müssen beide arbeiten, um die Familie zu ernähren.",My parents both have to work to support the family.,,,,,,,,,,
eröffnen,to open,"eröffnen, eröffnet, eröffnete, hat eröffnet",Mein Nachbar hat letzten Monat ein Geschäft eröffnet.,My neighbor opened a store last month.,Ich möchte ein Konto eröffnen.,I would like to open an account.,,,,,,,,,,
erreichen,to reach,"erreichen, erreicht, erreichte, hat erreicht","Wenn wir uns beeilen, erreichen wir noch den 8-Uhr-Zug.","If we hurry, we can still catch the 8 o'clock train.",Bis 17 Uhr können Sie mich im Büro erreichen.,You can reach me in the office until 5 pm.,Auf diese Art erreichen Sie bei mir gar nichts.,You won't achieve anything with me this way.,Dieser Zug erreicht eine Geschwindigkeit von 200 km/h.,This train reaches a speed of 200 km/h.,,,,,,
ersetzen,to replace,"ersetzen, ersetzt, ersetzte, hat ersetzt",Wir ersetzen Ihnen die Kosten.,We will reimburse you for the costs.,Peter ist krank. Jemand muss ihn ersetzen.,Peter is ill. Someone has to replace him.,,,,,,,,,,
erstellen,to create,"erstellen, erstellt, erstellte, hat erstellt","Erstellen Sie bitte eine Liste mit allen Informationen, die Sie brauchen.",Please make a list of all the information you need.,,,,,,,,,,,,
erwarten,to expect,"erwarten, erwartet, erwartete, hat erwartet",Ich erwarte einen Anruf aus Berlin.,I'm expecting a call from Berlin.,Frau Müller erwartet ein Kind.,Mrs. Müller is expecting a child.,Wir hatten nichts anderes erwartet.,We had expected nothing less.,"Ich kann es gar nicht erwarten, euch wieder zu sehen.",I can't wait to see you again.,,,,,,
erzählen,to tell,"erzählen, erzählt, erzählte, hat erzählt",Mein Mann hat mir schon viel von Ihnen erzählt.,My husband has already told me a lot about you.,Ich muss meinen Kindern abends immer eine Geschichte erzählen.,I always have to tell my children a story in the evening.,,,,,,,,,,
erziehen,"to educate, raise (children)","erziehen, erzieht, erzog, hat erzogen",Kinder zu erziehen ist nicht leicht.,Raising children is not easy.,,,,,,,,,,,,
essen,to eat,"essen, isst, aß, hat gegessen",Haben Sie schon zu Mittag gegessen?,Have you had lunch yet?,Ich esse gern Bananen.,I like to eat bananas.,Was gibt es heute zu essen?,What's for dinner today?,,,,,,,,
fahren,"to drive, go","fahren, fährt, fuhr, ist/hat gefahren",Wir sind mit dem Zug gefahren.,We traveled by train.,Fahr nicht so schnell.,Don't drive so fast.,Frau Koch fährt einen Mercedes.,Mrs. Koch drives a Mercedes.,Soll ich dich nach Hause fahren?,Shall I drive you home?,Er hat das Auto in die Garage gefahren.,He drove the car into the garage.,,,,
fallen,to fall,"fallen, fällt, fiel, ist gefallen",Das Glas ist auf den Boden gefallen.,The glass has fallen to the floor.,In den Bergen ist schon Schnee gefallen.,Snow has already fallen in the mountains.,Die Temperatur ist ganz plötzlich unter null gefallen.,The temperature has suddenly dropped below zero.,,,,,,,,
fangen,to catch,"fangen, fängt, fing, hat gefangen",Das Kind hat den Ball gefangen.,The child has caught the ball.,Unsere Katze hat eine Maus gefangen.,Our cat has caught a mouse.,,,,,,,,,,
fassen,"to catch, grasp","fassen, fasst, fasste, hat gefasst",Sie haben den Dieb gefasst.,They caught the thief.,"Ich habe den Entschluss gefasst, nach Wien zu ziehen.",I made the decision to move to Vienna.,,,,,,,,,,
faulenzen,to laze around,"faulenzen, faulenzt, faulenzte, hat gefaulenzt",Am Wochenende können wir faulenzen.,We can laze around at the weekend.,,,,,,,,,,,,
fehlen,to be missing,"fehlen, fehlt, fehlte, hat gefehlt",Auf dem Brief fehlt der Absender.,The sender is missing on the letter.,Hast du Kleingeld? Mir fehlt ein Euro.,Do you have any change? I'm missing one euro.,In der Kasse fehlen 20 Euro.,20 euros are missing from the till.,"Antonio war nicht in der Schule, er fehlt schon seit drei Tagen.","Antonio hasn't been to school, he's been missing for three days.",Was fehlt Ihnen? Haben Sie Schmerzen?,What is wrong with you? Are you in pain?,,,,
feiern,to celebrate,"feiern, feiert, feierte, hat gefeiert",Wir haben gestern Karls Geburtstag gefeiert.,We celebrated Karl's birthday yesterday.,,,,,,,,,,,,
fernsehen,to television,"fernsehen, sieht fern, sah fern, hat ferngesehen",Meine Kinder dürfen abends nur eine Stunde fernsehen.,My children are only allowed to watch one hour of television in the evening.,,,,,,,,,,,,
festhalten,"to hold on, hold tightly","festhalten, hält fest, hielt fest, hat festgehalten",Halt dich gut fest.,Hold on tight.,Halt die Flasche gut fest.,Hold the bottle firmly.,,,,,,,,,,
festlegen,to determine,"festlegen, legt fest, legte fest, hat festgelegt","Ich weiß noch nicht, ob ich das mache. Ich möchte mich noch nicht festlegen.",I don't know yet whether I'll do it. I don't want to commit myself yet.,Habt ihr den Hochzeitstermin schon festgelegt?,Have you already set the wedding date?,,,,,,,,,,
festsetzen,to set,"festsetzen, setzt fest, setzte fest, hat festgesetzt",Die Schule hat den Termin für die Prüfung festgesetzt.,The school has set the date for the exam.,,,,,,,,,,,,
feststehen,to fix (a date),"feststehen, steht fest, stand fest, ist festgestanden",Der Termin steht seit Langem fest.,The date has been fixed for a long time.,,,,,,,,,,,,
feststellen,to determine,"feststellen, stellt fest, stellte fest, hat festgestellt","Er hat festgestellt, dass der Absender des Briefes falsch war.",He found out that the sender of the letter was wrong.,"Der Arzt hat mich untersucht, konnte aber nichts feststellen.",The doctor examined me but couldn't find anything wrong.,,,,,,,,,,
finanzieren,to finance,"finanzieren, finanziert, finanzierte, hat finanziert","Ich weiß nicht, wie ich das Auto finanzieren soll.",I don't know how I'm going to finance the car.,,,,,,,,,,,,
finden,to find,"finden, findet, fand, hat gefunden",Meine Tante hat eine gute Arbeit gefunden.,My aunt has found a good job.,Ich kann meinen Schlüssel nicht finden.,I can't find my key.,Luigi finde ich sehr nett.,I think Luigi is very nice.,,,,,,,,
fliegen,to fly,"fliegen, fliegt, flog, ist geflogen",Der Vogel ist auf einen Baum geflogen.,The bird flew into a tree.,Diese Maschine fliegt direkt nach New York.,This plane flies directly to New York.,Ich bin nach Berlin geflogen.,I flew to Berlin.,,,,,,,,
fliehen,to flee,"fliehen, flieht, floh, ist geflohen",Der Einbrecher ist sofort geflohen.,The burglar fled immediately.,,,,,,,,,,,,
fließen,to flow,"fließen, fließt, floss, ist geflossen",Dieser Fluss fließt in die Nordsee.,This river flows into the North Sea.,,,,,,,,,,,,
folgen,to follow,"folgen, folgt, folgte, ist gefolgt",Es folgen die Nachrichten.,The news follows.,Folgen Sie der Reiseleiterin.,Follow the tour guide.,,,,,,,,,,
fordern,to demand,"fordern, fordert, forderte, hat gefordert",Die Arbeitnehmer fordern mehr Geld.,Employees are demanding more money.,,,,,,,,,,,,
fördern,"to promote, support","fördern, fördert, förderte, hat gefördert",Die Stadt fördert viele Sportprojekte.,The city supports many sports projects.,,,,,,,,,,,,
fortsetzen,to continue,"fortsetzen, setzt fort, setzte fort, hat fortgesetzt",Wir setzen die Behandlung am nächsten Donnerstag um 11 Uhr fort.,We will continue the treatment next Thursday at 11 am.,,,,,,,,,,,,
fotografieren,to photograph,"fotografieren, fotografiert, fotografierte, hat fotografiert",Ich fotografiere gern.,I like taking photos.,,,,,,,,,,,,
fragen,to ask,"fragen, fragt, fragte, hat gefragt",Darf ich Sie etwas fragen?,May I ask you a question?,Hat jemand nach mir gefragt?,Has anyone asked for me?,"Ich frage mich, ob das richtig war.",I wonder if that was the right thing to do.,,,,,,,,
fressen,to eat (for animals),"fressen, frisst, fraß, hat gefressen",Hat der Hund schon etwas zu fressen bekommen?,Has the dog had anything to eat yet?,,,,,,,,,,,,
sich freuen,"to rejoice (über), look forward to (auf)","sich freuen, freut sich, freute sich, hat sich gefreut über/auf","Es freut mich, dass alles so gut geklappt hat.",I'm delighted that everything went so well.,Ich habe mich über Ihr Geschenk sehr gefreut.,I was very pleased with your gift.,Ich freue mich schon auf meinen nächsten Urlaub.,I'm already looking forward to my next vacation.,,,,,,,,
frieren,to freeze,"frieren, friert, fror, hat gefroren","Wenn Sie frieren, mache ich das Fenster wieder zu.","If you get cold, I'll close the window again.",Heute Nacht hat es gefroren.,It froze tonight.,,,,,,,,,,
frühstücken,to have breakfast,"frühstücken, frühstückt, frühstückte, hat gefrühstückt",Haben Sie schon gefrühstückt?,Have you had breakfast yet?,,,,,,,,,,,,
fühlen,to feel,"fühlen, fühlt, fühlte, hat gefühlt","Wie fühlen Sie sich? - Danke, ich fühle mich wohl.","How do you feel? - Thank you, I feel good.","Fühl mal, ob das Wasser nicht zu heiß ist.",Feel if the water is not too hot.,,,,,,,,,,
