type,word,german,english
other,gegen,Wer spielt gegen wen?,Who is playing against whom?
noun,Moment,Warten Sie bitte einen Moment.,Please wait a moment.
noun,Moment,Einen Moment bitte.,One moment please.
noun,Moment,Ich habe im Moment sehr viel zu tun.,I have a lot to do at the moment.
noun,Junge,In der Schulklasse sind 15 Jungen und 10 Mädchen.,There are 15 boys and 10 girls in the class.
other,sonst,"Haben sie sonst noch einen Wunsch? – Nein, danke. Das ist alles.","Do you have any other wishes? - No, thank you. That's all."
other,sonst,"Wir müssen jetzt gehen, sonst wird es zu spät.","We have to go now, otherwise it will be too late."
other,sonst,Heute ist der Chef nicht mehr da. Sonst ist er um diese Zeit immer im Büro.,The boss isn't here today. He's usually always in the office at this time.
noun,Musik,Wie findest du die Musik?,What do you think of the music?
noun,Musik,Spanische Musik mag ich sehr.,I really like Spanish music.
noun,Musik,Was für Musik hörst du gern?,What kind of music do you like to listen to?
noun,Arbeit,Wie gefällt dir deine Arbeit?,How do you like your work?
noun,Arbeit,Nach der Ausbildung hat Mohamed eine Arbeit gefunden.,Mohamed found a job after completing his training.
verb,fragen,Darf ich Sie etwas fragen?,May I ask you a question?
verb,fragen,Hat jemand nach mir gefragt?,Has anyone asked for me?
verb,fragen,"Ich frage mich, ob das richtig war.",I wonder if that was the right thing to do.
noun,Herr,"Da ist ein Herr, der möchte Sie sprechen.",There is a gentleman who would like to speak to you.
noun,Herr,"Guten Tag, Herr Müller!","Hello, Mr. Müller!"
other,dabei,Was hast du dir dabei gedacht?,What were you thinking?
other,dabei,"Schön, dass du da bist. Ist deine Familie auch dabei?",It's great that you're here. Is your family there too?
other,dabei,Hast du einen Stift dabei?,Do you have a pen with you?
noun,Familie,Ich habe eine große Familie.,I have a big family.
verb,warten,Können Sie ein paar Minuten warten?,Can you wait a few minutes?
verb,warten,Ich warte seit einer Stunde auf den Bus.,I've been waiting for the bus for an hour.
other,niemand,Ich habe geklingelt. Aber es war niemand zu Hause.,I rang the doorbell. But no one was home.
other,sofort,Warum sind Sie nicht sofort zum Arzt gegangen?,Why didn't you go to the doctor immediately?
other,sofort,Karten für das Konzert bekommen Sie ab sofort im Kartenbüro.,Tickets for the concert are now available from the ticket office.
other,bevor,"Bevor wir gehen, möchte ich noch etwas essen.","Before we go, I want to eat something."
other,einmal,Ich habe diese Oper leider nur einmal gesehen.,"Unfortunately, I have only seen this opera once."
other,einmal,Bitte rufen Sie morgen noch einmal an.,Please call again tomorrow.
other,einmal,Auf einmal ging das Licht aus.,Suddenly the light went out.
other,einmal,Ich kann nicht alles auf einmal machen.,I can't do everything at once.
other,einmal,Sehen wir uns (ein)mal wieder?,Will we see each other (again)?
other,einmal,Vor Jahren habe ich (ein)mal in Wien gewohnt.,Years ago I (once) lived in Vienna.
other,einmal,Komm doch bitte (ein)mal her und hilf mir.,Please come here (once) and help me.
noun,Problem,José spricht nicht gern über seine Probleme.,José doesn't like to talk about his problems.
noun,Sohn,Mein jüngster Sohn ist vier.,My youngest son is four.
other,wann,Wann kommst du?,When are you coming?
other,wann,"Wissen Sie, wann der Kurs beginnt?",Do you know when the course starts?
other,wann,Bis wann muss ich mich anmelden?,By when do I have to register?
other,wann,Ab wann haben Sie geöffnet?,When do you open?
other,fertig,Das Essen ist gleich fertig.,The food will be ready soon.
other,fertig,"Wenn ich mit der Arbeit fertig bin, gehe ich nach Hause.","When I've finished work, I go home."
other,fertig,Bist du fertig?,Are you ready?
other,fertig,Das war ein schlimmer Tag. Ich bin total fertig.,That was a bad day. I'm totally exhausted.
noun,Halt,Nächster Halt ist am Südbahnhof.,The next stop is at Südbahnhof.
other,allein,Ich gehe nicht gern allein spazieren.,I don't like walking alone.
other,allein,"Soll ich Ihnen helfen? – Danke, ich schaffe es schon allein.","Shall I help you? - Thanks, I can manage on my own."
other,allein,Es war sehr teuer. Allein das Essen hat schon über 50 Euro gekostet.,It was very expensive. The food alone cost over 50 euros.
other,halt,Es gibt leider keine Karten mehr. – Schade. Da kann man nichts machen. Das ist halt so.,Unfortunately there are no more tickets. - What a pity. There's nothing you can do. That's just the way it is.
verb,sprechen,Können Sie bitte etwas lauter sprechen?,Can you please speak a little louder?
verb,sprechen,Jean spricht sehr gut Deutsch.,Jean speaks very good German.
verb,sprechen,Ich möchte nicht darüber sprechen.,I don't want to talk about it.
verb,sprechen,Die Bundeskanzlerin spricht heute Abend im Fernsehen.,The Federal Chancellor is speaking on television this evening.
verb,sprechen,Kann ich bitte Herrn Müller sprechen?,"Can I speak to Mr. Müller, please?"
other,beid-,Beide waren mit meinem Vorschlag einverstanden.,Both agreed with my proposal.
other,beid-,"Welche Bluse nehmen Sie, die rote oder die grüne? – Ich nehme beide.","Which blouse will you take, the red or the green? - I'll take both."
noun,Sache,Wir haben unsere Sachen im Hotel gelassen.,We left our things at the hotel.
noun,Sache,Er hat zum Geburtstag viele Sachen bekommen.,He got lots of things for his birthday.
noun,Sache,Das geht mich nichts an. Das ist Ihre Sache.,That's none of my business. It's your business.
noun,Hilfe,Vielen Dank für Ihre Hilfe.,Thank you very much for your help.
noun,Hilfe,"Haben Sie einen Kurs für Erste Hilfe gemacht? Das müssen Sie, wenn Sie den Führerschein machen wollen.",Have you done a first aid course? You must if you want to get your driver's license.
noun,Hilfe,Hilfe! Jemand hat mir die Handtasche gestohlen. Bitte helfen Sie mir!,Help! Someone has stolen my handbag. Please help me!
other,"jeder, jedes, jede",Das Restaurant hat jeden Tag geöffnet.,The restaurant is open every day.
other,"jeder, jedes, jede",Jedes Kind bekommt ein Spiel.,Each child gets a game.
other,"jeder, jedes, jede",Die Prospekte bekommen Sie in jedem Reisebüro.,You can obtain brochures from any travel agency.
other,"jeder, jedes, jede",Im Supermarkt gibt es keine Schmerztabletten. Das weiß doch jeder.,There are no painkillers in the supermarket. Everyone knows that.
other,gern/gerne,Ich helfe Ihnen gern.,I will be happy to help you.
other,gern/gerne,Kaffee oder Tee? – Ich möchte lieber einen Tee.,Coffee or tea? - I would prefer a tea.
other,gern/gerne,Am liebsten trinke ich Kaffee.,My favorite drink is coffee.
verb,halten,Kannst du mal kurz meine Handtasche halten?,Can you hold my handbag for a moment?
verb,halten,"Entschuldigung, hält dieser Zug auch in Darmstadt?","Excuse me, does this train also stop in Darmstadt?"
verb,halten,Halten Sie bitte im Keller die Fenster geschlossen.,Please keep the windows closed in the cellar.
verb,halten,Alle Mieter müssen sich an die Hausordnung halten.,All tenants must adhere to the house rules.
verb,halten,Die Stadt will einen neuen Flughafen bauen. Was halten Sie davon?,The city wants to build a new airport. What do you think?
verb,halten,"Halt, Polizei! Fahren Sie bitte an den Straßenrand.","Stop, police! Please pull over to the side of the road."
noun,Kind,Mein Bruder hat zwei Kinder.,My brother has two children.
noun,Kind,Wir haben ein Kind bekommen.,We had a child.
noun,Kind,Die Kinder spielen Fußball.,The children play soccer.
other,wahr,"Was ich sage, ist wahr.",What I say is true.
other,wahr,Es ist eine wahre Geschichte.,It is a true story.
other,wahr,"Es ist doch schön hier, nicht wahr?","It's nice here, isn't it?"
noun,Bruder,Mein jüngster Bruder geht noch zur Schule.,My youngest brother is still at school.
verb,denken,Du lachst - was denkst du gerade?,You're laughing - what are you thinking?
verb,denken,"Ich denke, dass du recht hast.",I think you're right.
verb,denken,Wir diskutieren gerade über das Rauchen. Wie denken Sie darüber?,We are currently discussing smoking. What do you think about it?
verb,denken,"Denk bitte daran, die Heizung auszumachen.",Please remember to turn off the heating.
verb,denken,"Es ist mir ganz egal, was die Leute von mir denken.",I don't care what people think of me.
verb,denken,Ich denke oft an meine Familie.,I often think about my family.
verb,denken,"Ich hatte mir gedacht, dass wir zusammen fahren könnten.",I had thought that we could ride together.
noun,Dank,Vielen Dank für Ihre Mühe.,Thank you very much for your efforts.
noun,Dank,Hier ist Ihr Kaffee. – Vielen Dank!,Here is your coffee. - Thank you very much!
noun,Dank,Herzlichen Dank!,Thank you very much!
noun,Dank,Gott sei Dank hat es nicht geregnet.,Thank goodness it didn't rain.
noun,Fall,Was würden Sie in diesem Fall tun?,What would you do in this case?
noun,Fall,Rufen Sie auf jeden Fall vorher noch einmal an.,Be sure to call again beforehand.
noun,Fall,"Für den Fall, dass meine Mutter aus dem Krankenhaus kommt, bleibe ich zu Hause.",I stay at home in case my mother comes out of hospital.
other,egal,"Es ist mir ganz egal, was die Leute denken.",I don't care what people think.
other,egal,"Egal, wie das Wetter ist, ich gehe schwimmen.","No matter what the weather is like, I go swimming."
verb,kennen,Kennen Sie hier in der Nähe ein gemütliches Café?,Do you know of a cozy café nearby?
verb,kennen,"Kennen Sie diese Frau? – Nein, leider nicht.","Do you know this woman? - No, unfortunately not."
verb,kennen,"Kennen Sie Berlin? – Ja, eine tolle Stadt.","Do you know Berlin? - Yes, it's a great city."
verb,vergessen,Ich habe den Termin ganz vergessen.,I completely forgot the date.
verb,vergessen,Ich habe meinen Pass vergessen.,I have forgotten my passport.
noun,Frage,Ich habe Ihre Frage leider nicht verstanden.,"Unfortunately, I did not understand your question."
noun,Frage,Das kommt gar nicht infrage!,That is out of the question!
other,echt,Ich träume von einem echten Perserteppich.,I dream of a real Persian carpet.
other,echt,Der Film war echt gut.,The movie was really good.
other,eigentlich,"Wir wollten eigentlich Freunde besuchen, aber dann sind wir doch zu Hause geblieben.","We actually wanted to visit friends, but then we stayed at home."
other,eigentlich,Die Sängerin nennt sich Arabella. Aber eigentlich heißt sie Uschi Müller.,The singer calls herself Arabella. But her real name is Uschi Müller.
other,eigentlich,Was willst du eigentlich von mir?,What do you actually want from me?
noun,Uhr,Wie viel Uhr ist es?,What time is it?
noun,Uhr,Es ist vier Uhr.,It's four o'clock.
noun,Uhr,Um wie viel Uhr müssen wir gehen?,What time do we have to leave?
noun,Uhr,Meine Uhr ist stehen geblieben.,My watch has stopped.
noun,Stadt,Heidelberg ist eine alte Stadt.,Heidelberg is an old city.
noun,Stadt,Ich wohne lieber auf dem Land als in der Stadt.,I prefer living in the countryside to the city.
noun,Stadt,Gehst du mit mir in die Stadt?,Are you going into town with me?
verb,fahren,Wir sind mit dem Zug gefahren.,We traveled by train.
verb,fahren,Fahr nicht so schnell.,Don't drive so fast.
verb,fahren,Frau Koch fährt einen Mercedes.,Mrs. Koch drives a Mercedes.
verb,fahren,Soll ich dich nach Hause fahren?,Shall I drive you home?
verb,fahren,Er hat das Auto in die Garage gefahren.,He drove the car into the garage.
verb,(herunter-)fahren,Zum Schluss musst du den Computer herunterfahren.,"Finally, you must shut down the computer."
verb,bekommen,Haben Sie meinen Brief bekommen?,Did you get my letter?
verb,bekommen,Ich bekomme jeden Tag eine Spritze.,I get an injection every day.
verb,bekommen,Was bekommen Sie? – 5 kg Kartoffeln.,What do you get? - 5 kg of potatoes.
verb,bekommen,Wir haben Besuch bekommen.,We have a visitor.
verb,bekommen,Laut Wetterbericht bekommen wir Regen.,"According to the weather forecast, we get rain."
verb,bekommen,Plötzlich bekam ich starke Kopfschmerzen.,Suddenly I got a severe headache.
noun,Kopf,Ich habe Kopfschmerzen.,I have a headache.
noun,Kopf,Michael kann gut im Kopf rechnen.,Michael is good at mental arithmetic.
noun,Glück,Du hast dich nicht verletzt. Da hast du Glück gehabt.,You didn't hurt yourself. You were lucky.
noun,Glück,Viel Glück bei der Prüfung!,Good luck with the exam!
noun,Glück,Es hat geregnet. Zum Glück hatte ich einen Regenschirm dabei.,It was raining. Luckily I had an umbrella with me.
other,all-,Sind alle Kinder da?,Are all the children there?
other,all-,"Sonst noch (et)was? – Nein, danke. Das ist alles.","Anything else? - No, thank you. That's all."
other,all-,Alles Gute!,All the best!
noun,Ende,Ich wohne am Ende der Straße.,I live at the end of the street.
noun,Ende,Die nächste Prüfung findet Ende August statt.,The next exam will take place at the end of August.
noun,Ende,Rinaldo ist Ende fünfzig.,Rinaldo is in his late fifties.
noun,Ende,Am Dienstag gehen die Ferien zu Ende.,The vacations come to an end on Tuesday.
other,bald,Besuchen Sie uns doch bald mal.,Come and visit us soon.
other,bald,Geben Sie mir bitte so bald wie möglich Bescheid.,Please let me know as soon as possible.
other,bald,"Auf Wiedersehen, bis bald!","Goodbye, see you soon!"
other,toll,Ich habe mir ein tolles Kleid gekauft.,I bought myself a great dress.
other,toll,Unser Urlaub war toll.,Our vacation was great.
other,bereit,"Ich bin jederzeit bereit, dir zu helfen.",I am always ready to help you.
other,bereit,Das Paket liegt auf der Post für Sie bereit.,The parcel is ready for you at the post office.
other,weit,Wie weit ist es noch bis München?,How far is it to Munich?
other,weit,Wie weit sind Sie mit der Arbeit?,How far along are you with the work?
other,weit,Die Jacke ist mir zu weit.,The jacket is too wide for me.
noun,Ahnung,"Ich hatte keine Ahnung, dass du heute Geburtstag hast.",I had no idea it was your birthday today.
other,ein bisschen,"Wenn Sie ein bisschen warten, können wir zusammen gehen.","If you wait a bit, we can go together."
other,ein bisschen,Möchten Sie noch ein bisschen Reis?,Would you like some more rice?
other,ein bisschen,Können Sie bitte ein bisschen lauter sprechen?,Can you please speak a little louder?
other,ein bisschen,Sprechen Sie Englisch? – Ein bisschen.,Do you speak English? - A little.
noun,Tür,Machen Sie bitte die Tür zu! Es zieht.,Please close the door! There is a draught.
noun,Auto,Mario fährt mit dem Auto zur Arbeit.,Mario drives to work by car.
noun,Polizei,Rufen Sie bitte die Polizei.,Please call the police.
noun,Polizei,Er arbeitet bei der Polizei.,He works for the police.
verb,stehen,In meinem Beruf muss ich viel stehen.,I have to stand a lot in my job.
verb,stehen,"Als wir kamen, stand das Essen schon auf dem Tisch.","When we arrived, the food was already on the table."
verb,stehen,Der Bus steht schon an der Haltestelle.,The bus is already at the bus stop.
verb,stehen,Was steht heute in der Zeitung?,What's in the newspaper today?
verb,stehen,Nach 20 Minuten stand das Spiel 1:1.,"After 20 minutes, the score was 1:1."
verb,stehen,Die neue Bluse steht dir gut.,The new blouse looks good on you.
verb,sterben,Mein Kollege kommt heute nicht. Sein Vater ist gestern an einem Herzinfarkt gestorben.,My colleague isn't coming today. His father died of a heart attack yesterday.
other,draußen,Es ist kalt draußen.,It's cold outside.
other,draußen,Wir müssen draußen warten.,We have to wait outside.
other,fast,Das Konzent ist fast zu Ende.,The concert is almost over.
other,fast,Ich habe fast alles verstanden.,I understood almost everything.
other,vorbei/vorbei-,Die Linie 8 fährt am Krankenhaus vorbei.,Line 8 runs past the hospital.
other,vorbei/vorbei-,Keine Sorge! Die Schmerzen sind in ein paar Minuten vorbei.,Don't worry! The pain will be over in a few minutes.
other,vorbei/vorbei-,Kommst du um 3 Uhr bei mir vorbei?,Will you come by my place at 3 o'clock?
verb,treffen,Wir treffen uns immer freitags.,We always meet on Fridays.
verb,treffen,Ich habe Petra zufällig in der Stadt getroffen.,I met Petra by chance in the city.
verb,arbeiten,Er arbeitet heute bis 16 Uhr.,He works until 4 p.m. today.
verb,arbeiten,Arzu arbeitet als Krankenschwester im Krankenhaus.,Arzu works as a nurse at the hospital.
other,verrückt,Bist du verrückt geworden?!,Have you gone mad?!
other,verrückt,So eine verrückte Idee.,Such a crazy idea.
other,hinter/hinter-,Hinter dem Haus haben wir einen Garten.,We have a garden behind the house.
other,hinter/hinter-,Fahren Sie Ihren Wagen bitte hinter das Haus.,Please drive your car behind the house.
other,hinter/hinter-,Auf den hinteren Plätzen kann man nicht sehr viel sehen.,You can't see very much in the back seats.
verb,sorgen,Wer sorgt denn für die Kinder?,Who takes care of the children?
verb,sorgen,"Können Sie bitte dafür sorgen, dass die Heizung funktioniert?",Can you please make sure the heating works?
noun,Tochter,Das ist meine Tochter Katharina.,This is my daughter Katharina.
noun,Idee,Du willst ein Picknick machen? Ich finde die Idee toll.,You want to have a picnic? I think it's a great idea.
noun,Schwester,Ich habe eine ältere Schwester und einen jüngeren Bruder.,I have an older sister and a younger brother.
noun,Schwester,Schwester Anna hat mir eine Schmerztablette gegeben.,Nurse Anna gave me a painkiller.
other,"drin, drinnen",Wo wollt ihr sitzen? Draußen oder drinnen?,Where do you want to sit? Outside or inside?
other,"drin, drinnen",Bei der Hitze ist es drinnen viel angenehmer.,It's much more pleasant inside in the heat.
other,"drin, drinnen",In der Packung ist nichts mehr drin.,There is nothing left in the pack.
other,ruhig,Ich suche ein ruhiges Zimmer.,I am looking for a quiet room.
other,ruhig,Nachts ist es hier in der Straße sehr ruhig.,The street is very quiet at night.
other,ruhig,Du kannst ruhig rauchen.,You can go ahead and smoke.
other,spät,Wie spät ist es?,What time is it?
other,spät,"Es ist schon spät, ich muss gehen.","It's getting late, I have to go."
other,spät,Ich muss mich beeilen. Sonst komme ich zu spät.,I have to hurry. Otherwise I'll be late.
other,spät,Sonntags stehen wir immer spät auf.,We always get up late on Sundays.
other,spät,Am späten Nachmittag ist der Verkehr besonders stark.,Traffic is particularly heavy in the late afternoon.
other,spät,Können Sie später noch mal anrufen?,Can you call back later?
other,spät,Was willst du denn später mal werden?,What do you want to be when you grow up?
other,ziemlich,Ich bin schon ziemlich müde. Ich gehe ins Bett.,I'm already pretty tired. I'm going to bed.
other,ziemlich,Ich musste beim Arzt ziemlich lange warten.,I had to wait quite a long time at the doctor's.
noun,Name,Wie ist Ihr Name?,What is your name?
noun,Name,An den Namen kann ich mich nicht mehr erinnern.,I can no longer remember the name.
other,sogar,Auf dem Berg war es so kalt. Es hat sogar geschneit.,It was so cold on the mountain. It even snowed.
other,kurz,Ricardo hat kurze Haare.,Ricardo has short hair.
other,kurz,Kann ich Sie kurz sprechen?,Can I have a word with you?
other,kurz,Kurz vor 8 Uhr hat das Telefon geklingelt.,The phone rang just before 8 o'clock.
other,kurz,Mein Mann ist kurz nach mir gekommen.,My husband arrived shortly after me.
other,kurz,Ich bin vor Kurzem nach München gezogen.,I recently moved to Munich.
other,kurz,Ich wohne seit Kurzem in München.,I have recently moved to Munich.
other,kurz,Ich habe das Kleid kürzer machen lassen.,I had the dress made shorter.
verb,suchen,Ich suche meine Brille.,I'm looking for my glasses.
verb,suchen,Wir suchen eine größere Wohnung.,We are looking for a larger apartment.
verb,suchen,Wen suchen Sie?,Who are you looking for?
other,je (nach),Die Pullover kosten je nach Qualität zwischen 40 und 60 Euro.,"The sweaters cost between 40 and 60 euros, depending on the quality."
other,je (nach),"Fahren Sie im Juni oder im Juli? – Je nachdem, wann mein Mann Urlaub bekommt.","Are you going in June or July, depending on when my husband gets his vacation?"
other,woher,Woher kommst du?,Where are you from?
other,woher,Unsere Nachbarn ziehen nach Berlin. – Woher wissen Sie das?,Our neighbors are moving to Berlin. - How do you know that?
other,lang,Der Teppich ist 3 m lang und 2 m breit.,The carpet is 3 m long and 2 m wide.
other,lang,Meine Schwester hat mir einen langen Brief geschrieben.,My sister wrote me a long letter.
other,lang,Die Hose ist zu lang. Können Sie sie kürzer machen?,The pants are too long. Can you make them shorter?
verb,(sich) verstehen,Ich kann Sie kaum verstehen. Sprechen Sie bitte lauter.,I can hardly hear you. Please speak up.
verb,(sich) verstehen,Den Satz verstehe ich nicht.,I don't understand that sentence.
verb,(sich) verstehen,Ich verstehe nichts von Computern.,I know nothing about computers.
verb,(sich) verstehen,Unsere beiden Kinder verstehen sich sehr gut.,Our two children get on very well.
verb,spielen,"Wir haben einen großen Garten, da können die Kinder spielen.",We have a large garden where the children can play.
verb,spielen,Am Sonntag spielen wir gegen die Fußballmannschaft der Nachbarschule.,On Sunday we play against the soccer team from the neighboring school.
verb,spielen,Spielen Sie ein Instrument?,Do you play an instrument?
verb,spielen,Spielen Sie Karten?,Do you play cards?
other,überhaupt,Die Suppe schmeckt mir überhaupt nicht.,I don't like the soup at all.
other,überhaupt,Tut mir leid. Ich habe überhaupt keine Zeit.,I'm sorry. I don't have any time at all.
other,überhaupt,Du willst mit meinem Auto fahren? Hast du überhaupt einen Führerschein?,You want to drive my car? Do you even have a driver's license?
noun,Hand,Wasch dir bitte die Hände vor dem Essen.,Please wash your hands before eating.
noun,Hand,Gib mir bitte deine Hand. Wir gehen jetzt über die Straße.,Please give me your hand. We're crossing the road now.
noun,Grund,Sie haben Ihre Stelle gekündigt. Aus welchem Grund?,You have resigned from your job. For what reason?
noun,Grund,"Sie haben keinen Grund, sich zu beschweren.",You have no reason to complain.
noun,Ruhe,"Ruhe, bitte!","Quiet, please!"
noun,Ruhe,Lass mich jetzt endlich in Ruhe!,Leave me alone now!
noun,Ruhe,Ich brauche meine Ruhe.,I need my peace and quiet.
noun,Tod,Ich habe ihn vor seinem Tod noch einmal gesehen.,I saw him again before he died.
other,oben,Wir wohnen oben im 4. Stock.,We live upstairs on the 4th floor.
other,oben,Die Butter liegt im Kühlschrank ganz oben.,The butter is at the top of the fridge.
other,gestern,Ich bin erst gestern zurückgekommen.,I only got back yesterday.
verb,versuchen,Haben Sie es schon mal mit diesem Mittel versucht?,Have you ever tried this remedy?
verb,versuchen,"Ich habe immer wieder versucht, Sie zu erreichen.",I have tried to reach you again and again.
verb,versuchen,Versuchen Sie doch mal meinen Apfelkuchen.,Why don't you try my apple pie?
noun,Art,Im Zoo haben sie 34 verschiedene Arten von Vögeln.,They have 34 different species of birds at the zoo.
noun,Art,Seine Art gefällt mir nicht.,I don't like his manner.
noun,Art,Man kann auf unterschiedliche Art und Weise ein Fest feiern.,You can celebrate a party in different ways.
other,endlich,Endlich haben wir eine schöne Wohnung gefunden.,We have finally found a nice apartment.
other,endlich,Haben Sie sich nun endlich entschieden?,Have you finally made up your mind?
other,etwa,Von hier sind es etwa zwanzig Kilometer.,It is about twenty kilometers from here.
other,etwa,Von zu Hause brauche ich etwa 10 Minuten bis zur Arbeit.,It takes me about 10 minutes to get to work from home.
other,etwa,Du bist doch nicht etwa krank?,"You're not ill, are you?"
other,schwer,Der Koffer ist viel zu schwer.,The case is far too heavy.
other,schwer,Die Prüfung war schwer.,The test was difficult.
other,schwer,Das ist eine schwere Arbeit.,This is hard work.
other,schwer,Dieses Wort ist schwer zu erklären.,This word is difficult to explain.
other,anders,Anders geht das leider nicht.,"Unfortunately, there is no other way."
other,anders,Oliver ist anders als seine Freunde.,Oliver is different from his friends.
other,anders,Ich würde das anders machen.,I would do it differently.
other,miss-,Die Konferenz war ein Misserfolg.,The conference was a failure.
other,miss-,Das Misstrauen zwischen den beiden Parteien ist weiterhin groß.,The mistrust between the two parties remains high.
other,miss-,Sie haben mich missverstanden.,You have misunderstood me.
other,miss-,Das ist ein Missverständnis. Das habe ich nicht gesagt.,That's a misunderstanding. I didn't say that.
noun,Wasser,Kann ich bitte ein Glas Wasser haben?,"Can I have a glass of water, please?"
noun,Wasser,"Eine Cola und zwei Wasser, bitte!","A Coke and two waters, please!"
noun,Wasser,Gibt es hier kein warmes Wasser?,Is there no hot water here?
noun,Geschichte,Ich interessiere mich nicht für Geschichte.,I'm not interested in history.
noun,Geschichte,Abends erzähle ich meinen Kindern immer eine Geschichte.,I always tell my children a story in the evening.
other,wenig/wenige,Essen Sie immer so wenig?,Do you always eat so little?
other,wenig/wenige,Ich habe nur wenig geschlafen.,I only slept a little.
other,wenig/wenige,Hier gibt es nur wenige Geschäfte.,There are only a few stores here.
verb,holen,Soll ich uns was zu trinken holen?,Shall I get us a drink?
verb,holen,Warum haben Sie nicht sofort einen Arzt geholt?,Why didn't you call a doctor immediately?
other,nett,Die Leute sind hier sehr nett.,The people here are very nice.
other,nett,Ich habe viele nette Kollegen.,I have a lot of nice colleagues.
other,nett,Vielen Dank! Das ist sehr nett von Ihnen.,Thank you very much! That's very kind of you.
other,nett,Die Nachbarn waren sehr nett zu uns.,The neighbors were very nice to us.
noun,Wahrheit,Sag mir bitte die Wahrheit. Hast du wieder geraucht?,Please tell me the truth. Have you been smoking again?
other,deshalb,Ich war krank. Deshalb war ich nicht im Büro.,I was ill. That's why I wasn't in the office.
other,bestimmt,Das hat Nancy bestimmt nicht so gemeint.,Nancy certainly didn't mean that.
other,bestimmt,Möchtest du ein bestimmtes Brot?,Would you like a specific bread?
other,hoch,Der Berg ist fast 3000 m hoch.,The mountain is almost 3000 m high.
other,hoch,Das Hotel liegt hoch über dem See.,The hotel is situated high above the lake.
other,hoch,Die Benzinpreise sind sehr hoch.,Gasoline prices are very high.
noun,Alter,Wir sind etwa im gleichen Alter.,We are about the same age.
noun,Alter,Alter: 26 Jahre,Age: 26 years
noun,Land,Deutschland ist ein schönes Land.,Germany is a beautiful country.
noun,Land,Möchten Sie lieber auf dem Land oder in der Stadt wohnen?,Would you prefer to live in the countryside or in the city?
noun,Land,Wir haben ein Stück Land gekauft und wollen dort bauen.,We have bought a piece of land and want to build there.
noun,Land,In welchen Ländern warst du schon?,Which countries have you been to?
noun,Zimmer,Die Wohnung hat drei Zimmer.,The apartment has three rooms.
noun,Zimmer,Ich habe ein Zimmer im Hotel Eden reserviert.,I have reserved a room at the Hotel Eden.
other,was für ein-,Ich will mir ein Auto kaufen. – Was denn für eins?,I want to buy a car. - What kind of car?
noun,Wagen,Ich habe meinen Wagen in die Werkstatt gebracht.,I took my car to the garage.
noun,Wagen,Im zweiten Wagen befindet sich das Zugrestaurant.,The train restaurant is located in the second carriage.
verb,gefallen,Wie gefällt es Ihnen hier?,How do you like it here?
verb,gefallen,Der Pullover gefällt mir gut.,I like the sweater.
noun,Spaß,Meine Arbeit macht mir viel Spaß.,I really enjoy my work.
noun,Spaß,Viel Spaß bei der Party!,Have fun at the party!
noun,Schuld,"Es ist nicht meine Schuld, dass das nicht geklappt hat.",It's not my fault that it didn't work out.
other,schuld,Ich hatte einen Unfall. Aber ich war nicht schuld.,I had an accident. But it wasn't my fault.
verb,(sich) verlassen,Ich habe die Party um 3 Uhr verlassen.,I left the party at 3 o'clock.
verb,(sich) verlassen,Du kannst dich auf mich verlassen. Ich helfe dir auf jeden Fall.,You can rely on me. I will help you in any case.
verb,zeigen,Zeig mir bitte deine Hausaufgaben.,Please show me your homework.
verb,zeigen,Der Bahnhof ist nicht weit entfernt. Ich zeige Ihnen den Weg.,The station is not far away. I'll show you the way.
verb,zeigen,Komm her! Ich zeige dir etwas.,Come here! I'll show you something.
other,ernst,Der starke Verkehr ist ein ernstes Problem.,The heavy traffic is a serious problem.
noun,Ort,Vergessen Sie Ort und Datum nicht.,Do not forget the place and date.
other,manchmal,Manchmal gehe ich mit meiner Frau ins Café.,Sometimes I go to the café with my wife.
other,manchmal,Rauchen Sie? – Manchmal.,Do you smoke? - Sometimes.
noun,Seite,Das hier ist die Goethestraße. Ich wohne auf der linken Seite.,This is Goethestraße. I live on the left-hand side.
noun,Seite,Der Text steht auf Seite 20.,The text is on page 20.
other,zwischen,Das Regal stellen wir zwischen die beiden Schränke.,We place the shelf between the two cupboards.
other,zwischen,Heidelberg liegt zwischen Frankfurt und Stuttgart.,Heidelberg is located between Frankfurt and Stuttgart.
other,zwischen,Zwischen 8 und 10 Uhr bin ich zu Hause.,I'm at home between 8 and 10 o'clock.
other,eben,Ich bin eben erst angekommen.,I've only just arrived.
other,eben,Ich gebe auf. Ich habe eben kein Glück!,I give up. I just don't have any luck!
other,eben,Es ist einfacher auf ebenen Flächen zu gehen.,It is easier to walk on even surfaces.
other,während,"Während ich arbeite, höre ich oft Musik.",I often listen to music while I work.
other,während,Während der Prüfung dürfen wir unsere Handys nicht benutzen.,We are not allowed to use our cell phones during the exam.
noun,Spiel,Monopoly ist ein ganz bekanntes Spiel.,Monopoly is a well-known game.
noun,Spiel,Nach 20 Minuten stand das Spiel 2:1.,"After 20 minutes, the score was 2:1."
noun,Chance,"Mein Mann hat gute Chancen, die Stelle zu bekommen.",My husband has a good chance of getting the job.
noun,Krieg,Es herrscht noch immer Krieg in diesem Land.,There is still a war going on in this country.
noun,Krieg,Der Lehrer spricht über den Zweiten Weltkrieg.,The teacher talks about the Second World War.
verb,erzählen,Mein Mann hat mir schon viel von Ihnen erzählt.,My husband has already told me a lot about you.
